"","logFC","logCPM","LR","PValue","FDR"
"FBgn0040238:Best1",-9.41143927113891,14.4593296080062,4413.55698276544,0,0
"FBgn0037541:CG2747",-9.41143927113891,14.4598118257038,4413.55698276427,0,0
"FBgn0039536:unc80",-9.41143927113891,14.4610716510569,4413.55698276883,0,0
"FBgn0019960:Mitofilin",-9.41143927113891,14.4596834464622,4413.55698276693,0,0
"FBgn0039116:CG10375",-9.41143927113891,14.4617049074418,4413.55698276816,0,0
"FBgn0037697:GstZ2",-9.41143927113891,14.4605922654823,4413.5569827734,0,0
"FBgn0010051:Itpr",-9.41143927113891,14.4602298613603,4413.55698277348,0,0
"FBgn0039065:Rad60",-9.41143927113891,14.460623348501,4413.55698276437,0,0
"FBgn0027784:Prp18",-9.41143927113891,14.4599257544536,4413.55698276418,0,0
"FBgn0003862:trx",-9.41143927113891,14.4754796578578,4413.55698283035,0,0
"FBgn0026616:alpha-Man-IIb",-9.41143927113891,14.4605275152738,4413.55698276496,0,0
"FBgn0051155:Polr2G",-9.41143927113891,14.4603296152237,4413.55698277011,0,0
"FBgn0037566:mRpL1",-9.41143927113891,14.4626060401437,4413.55698278409,0,0
"FBgn0039531:CG5611",-9.41143927113891,14.4592847615442,4413.5569827689,0,0
"FBgn0037621:M1BP",-9.41143927113891,14.4601306556387,4413.55698277007,0,0
"FBgn0038956:CAH8",-9.41143927113891,14.4615503953514,4413.55698276929,0,0
"FBgn0037708:CG9386",-9.41143927113891,14.4597865712079,4413.55698277454,0,0
"FBgn0038156:side-IV",-9.41143927113891,14.4617439818176,4413.55698276723,0,0
"FBgn0038330:CG14868",-9.41143927113891,14.4631538451826,4413.55698276695,0,0
"FBgn0039054:Cow",-9.41143927113891,14.4641721044496,4413.55698278809,0,0
"FBgn0037687:CG8132",-9.41143927113891,14.4619000782114,4413.5569827674,0,0
"FBgn0027095:Manf",-9.41143927113891,14.4625891231478,4413.55698277102,0,0
"FBgn0086679:p",-9.41143927113891,14.4597315678797,4413.55698277161,0,0
"FBgn0263768:lncRNA:CR43685",-9.41143927113891,14.4616752579205,4413.55698278395,0,0
"FBgn0038446:CG14903",-9.41143927113891,14.4615998049649,4413.55698276665,0,0
"FBgn0005632:faf",-9.41143927113891,14.4617103706695,4413.55698276583,0,0
"FBgn0037933:Ho",-9.41143927113891,14.4677810283351,4413.55698277466,0,0
"FBgn0038829:CG17271",-9.41143927113891,14.4608414300463,4413.55698277218,0,0
"FBgn0039636:Atg14",-9.41143927113891,14.4627623057568,4413.55698277072,0,0
"FBgn0261279:lqfR",-9.41143927113891,14.4617917154951,4413.55698279298,0,0
"FBgn0037369:CG2100",-9.41143927113891,14.4593495724673,4413.55698276727,0,0
"FBgn0014022:Rlb1",-9.41143927113891,14.4598549130346,4413.5569827718,0,0
"FBgn0037849:CG4596",-9.41143927113891,14.459735865052,4413.55698277162,0,0
"FBgn0264694:mgr",-9.41143927113891,14.4637701234361,4413.55698276775,0,0
"FBgn0037710:CG9393",-9.41143927113891,14.4607972156817,4413.55698277522,0,0
"FBgn0028717:Lnk",-9.41143927113891,14.4605855050102,4413.55698277345,0,0
"FBgn0003261:Rm62",-9.41143927113891,14.4694022994943,4413.55698288575,0,0
"FBgn0037843:CG4511",-9.41143927113891,14.4605072048306,4413.55698277185,0,0
"FBgn0010282:TfIIFalpha",-9.41143927113891,14.4610973289403,4413.55698276599,0,0
"FBgn0003499:sr",-9.41143927113891,14.4639353142282,4413.55698277164,0,0
"FBgn0002906:Blm",-9.41143927113891,14.4594629682453,4413.55698276998,0,0
"FBgn0039831:CG12054",-9.41143927113891,14.4674502105118,4413.5569828033,0,0
"FBgn0027053:CSN5",-9.41143927113891,14.4593605469091,4413.5569827651,0,0
"FBgn0038745:ClpX",-9.41143927113891,14.4601113290912,4413.55698277437,0,0
"FBgn0266720:Snap24",-9.41143927113891,14.4611813842141,4413.55698276558,0,0
"FBgn0038532:CG14322",-9.41143927113891,14.4597181261619,4413.55698276428,0,0
"FBgn0039303:CG11857",-9.41143927113891,14.4619238132817,4413.55698278274,0,0
"FBgn0028691:Rpn9",-9.41143927113891,14.4628014776514,4413.5569827684,0,0
"FBgn0037648:CG11975",-9.41143927113891,14.4603242046622,4413.55698277467,0,0
"FBgn0039509:bigmax",-9.41143927113891,14.4617519785844,4413.5569827833,0,0
"FBgn0037241:CG14646",-9.41143927113891,14.4601202936318,4413.55698277437,0,0
"FBgn0038596:CG14312",-9.41143927113891,14.465492992922,4413.55698276744,0,0
"FBgn0002719:Men",-9.41143927113891,14.4658737491801,4413.55698277106,0,0
"FBgn0046225:CG17230",-9.41143927113891,14.4600091706461,4413.55698277431,0,0
"FBgn0039186:CG5746",-9.41143927113891,14.4606849091052,4413.55698277338,0,0
"FBgn0051224:CG31224",-9.41143927113891,14.4593892811208,4413.55698277035,0,0
"FBgn0027575:GABA-B-R2",-9.41143927113891,14.4604732698738,4413.55698277222,0,0
"FBgn0037391:CG2017",-9.41143927113891,14.4692156007407,4413.55698287446,0,0
"FBgn0037466:CG1965",-9.41143927113891,14.4601031781041,4413.55698277302,0,0
"FBgn0261859:CG42788",-9.41143927113891,14.4624616272948,4413.55698276776,0,0
"FBgn0037880:CG17726",-9.41143927113891,14.4596034463193,4413.55698277112,0,0
"FBgn0027493:AdSS",-9.41143927113891,14.4649881936698,4413.55698279569,0,0
"FBgn0037794:CG6254",-9.41143927113891,14.4604001376494,4413.55698276944,0,0
"FBgn0285913:red",-9.41143927113891,14.4600056195248,4413.55698277298,0,0
"FBgn0038306:Art3",-9.41143927113891,14.4607953211245,4413.5569827708,0,0
"FBgn0037473:CG10068",-9.41143927113891,14.4601500620926,4413.55698277232,0,0
"FBgn0002645:Map205",-9.41143927113891,14.4596893985257,4413.55698277198,0,0
"FBgn0038735:MICU3",-9.41143927113891,14.4645273256943,4413.55698278538,0,0
"FBgn0039492:CG6051",-9.41143927113891,14.4609258151846,4413.55698276466,0,0
"FBgn0037354:CG12171",-9.41143927113891,14.4596135051684,4413.55698276602,0,0
"FBgn0039204:CG6607",-9.41143927113891,14.4612974724608,4413.55698277604,0,0
"FBgn0263346:smash",-9.41143927113891,14.4657769431956,4413.55698278754,0,0
"FBgn0016917:Stat92E",-9.41143927113891,14.4636115670068,4413.55698279391,0,0
"FBgn0038519:Prx3",-9.41143927113891,14.4675293478478,4413.55698276982,0,0
"FBgn0265082:Cdep",-9.41143927113891,14.4628627460672,4413.5569827848,0,0
"FBgn0028688:Rpn7",-9.41143927113891,14.4640898672008,4413.5569827696,0,0
"FBgn0266750:lncRNA:CR45223",-9.41143927113891,14.4608887844904,4413.55698276632,0,0
"FBgn0039580:Gfat2",-9.41143927113891,14.4600986662842,4413.55698276493,0,0
"FBgn0262125:Sec23",-9.41143927113891,14.4609765785811,4413.55698276497,0,0
"FBgn0037578:PNKP",-9.41143927113891,14.4592681348035,4413.55698276386,0,0
"FBgn0037330:mRpL44",-9.41143927113891,14.4622888755324,4413.55698277106,0,0
"FBgn0039159:mRpS24",-9.41143927113891,14.4622153199364,4413.55698277109,0,0
"FBgn0261792:snRNP-U1-C",-9.41143927113891,14.4594163004913,4413.55698276529,0,0
"FBgn0038195:CG3061",-9.41143927113891,14.4648417195908,4413.55698279749,0,0
"FBgn0260793:2mit",-9.41143927113891,14.4598111847078,4413.55698276731,0,0
"FBgn0037943:CG14722",-9.41143927113891,14.4598855425232,4413.55698276953,0,0
"FBgn0266717:Bruce",-9.41143927113891,14.4596804843507,4413.55698276443,0,0
"FBgn0028646:aralar1",-9.41143927113891,14.4607781759702,4413.55698277284,0,0
"FBgn0039844:CG1607",-9.41143927113891,14.4617755105131,4413.55698280247,0,0
"FBgn0005777:PpD3",-9.41143927113891,14.4595786632699,4413.55698276676,0,0
"FBgn0037603:Sys1",-9.41143927113891,14.4616926648704,4413.55698276566,0,0
"FBgn0052944:CG32944",-9.41143927113891,14.4634693942487,4413.55698278514,0,0
"FBgn0038387:blp",-9.41143927113891,14.4598024081776,4413.55698277113,0,0
"FBgn0023097:bon",-9.41143927113891,14.459535298351,4413.55698276609,0,0
"FBgn0040078:pont",-9.41143927113891,14.459422900179,4413.55698276732,0,0
"FBgn0029176:eEF1gamma",-9.41143927113891,14.4605120995347,4413.55698277292,0,0
"FBgn0261618:larp",-9.41143927113891,14.4625073668112,4413.55698276738,0,0
"FBgn0039738:Mgat2",-9.41143927113891,14.4611339840922,4413.55698276672,0,0
"FBgn0265140:Meltrin",-9.41143927113891,14.4597121581371,4413.55698276799,0,0
"FBgn0037653:Iru",-9.41143927113891,14.4608231667257,4413.55698276663,0,0
"FBgn0051460:CG31460",-9.41143927113891,14.4596609552635,4413.55698276543,0,0
"FBgn0039461:CG5500",-9.41143927113891,14.4622551797214,4413.55698276773,0,0
"FBgn0038551:Odj",-9.41143927113891,14.4592765220899,4413.55698276993,0,0
"FBgn0037989:ATP8B",-9.41143927113891,14.4594996653194,4413.55698276738,0,0
"FBgn0003721:Tm1",-9.41143927113891,14.471998469423,4413.55698279277,0,0
"FBgn0259139:glo",-9.41143927113891,14.4649333391049,4413.55698278158,0,0
"FBgn0085412:kmr",-9.41143927113891,14.464352023564,4413.55698278502,0,0
"FBgn0004103:Pp1-87B",-9.41143927113891,14.4686877997932,4413.55698296039,0,0
"FBgn0037956:CG6959",-9.41143927113891,14.4623890718582,4413.55698278299,0,0
"FBgn0043884:mask",-9.41143927113891,14.4624123107226,4413.55698277112,0,0
"FBgn0010340:140up",-9.41143927113891,14.4595863036664,4413.55698276882,0,0
"FBgn0259938:cwo",-9.41143927113891,14.4623505122603,4413.55698276632,0,0
"FBgn0019925:Surf4",-9.41143927113891,14.4627172290089,4413.55698276945,0,0
"FBgn0262081:Csk",-9.41143927113891,14.4651491793261,4413.55698276868,0,0
"FBgn0038533:CG7523",-9.41143927113891,14.4594267129982,4413.55698276805,0,0
"FBgn0051229:CG31229",-9.41143927113891,14.4628695680425,4413.55698276813,0,0
"FBgn0040071:tara",-9.41143927113891,14.4612152771365,4413.556982768,0,0
"FBgn0038251:Hexim",-9.41143927113891,14.4596830083052,4413.55698276872,0,0
"FBgn0039140:Miro",-9.41143927113891,14.4598024081776,4413.55698276757,0,0
"FBgn0038428:CG14894",-9.41143927113891,14.4616762707388,4413.55698276529,0,0
"FBgn0083991:CG34155",-9.41143927113891,14.4623056457361,4413.55698276688,0,0
"FBgn0003093:Pkc98E",-9.41143927113891,14.4740882895043,4413.55698284909,0,0
"FBgn0037521:CG2993",-9.41143927113891,14.4615842343486,4413.5569827741,0,0
"FBgn0037347:SecS",-9.41143927113891,14.4614077103847,4413.55698278061,0,0
"FBgn0022359:Sodh-2",-9.41143927113891,14.4593373449965,4413.55698276371,0,0
"FBgn0264495:gpp",-9.41143927113891,14.4668958780048,4413.55698278612,0,0
"FBgn0086686:l(3)L1231",-9.41143927113891,14.4652716059298,4413.55698278231,0,0
"FBgn0011582:Dop1R1",-9.41143927113891,14.4597135231225,4413.55698276874,0,0
"FBgn0051211:CG31211",-9.41143927113891,14.4618625001268,4413.55698277102,0,0
"FBgn0004436:Ubc6",-9.41143927113891,14.4759268450182,4413.55698287611,0,0
"FBgn0039172:Spase22-23",-9.41143927113891,14.4598365496822,4413.55698277124,0,0
"FBgn0000416:Sap-r",-9.41143927113891,14.462071399961,4413.55698276709,0,0
"FBgn0003330:Sce",-9.41143927113891,14.460780072353,4413.55698276728,0,0
"FBgn0038871:CG3337",-9.41143927113891,14.4627936121899,4413.5569827932,0,0
"FBgn0037780:ohgt",-9.41143927113891,14.4597932071244,4413.55698277319,0,0
"FBgn0039770:CG15537",-9.41143927113891,14.4627186731561,4413.55698276639,0,0
"FBgn0263740:eIF2gamma",-9.41143927113891,14.4592803846289,4413.5569827684,0,0
"FBgn0261929:5-HT2B",-9.41143927113891,14.4602384521242,4413.55698276467,0,0
"FBgn0086361:alph",-9.41143927113891,14.462531016581,4413.55698278134,0,0
"FBgn0039689:CIA30",-9.41143927113891,14.4616591026648,4413.55698277794,0,0
"FBgn0262975:cnc",-9.41143927113891,14.4611681623266,4413.55698276412,0,0
"FBgn0003651:svp",-9.41143927113891,14.4608181047077,4413.55698277257,0,0
"FBgn0037690:Task7",-9.41143927113891,14.4633770583146,4413.55698282915,0,0
"FBgn0038106:CG7488",-9.41143927113891,14.4621797187473,4413.55698276894,0,0
