"Gene","PValue","logFC"
"FBgn0004118:nAChRbeta2",0.969092623420645,-5.22620550700388
"FBgn0267816:lncRNA:CR46141",1,-16.6096404744368
"FBgn0037995:Adk1",1,-16.6096404744368
"FBgn0027512:CG10254",1,-10.2316618330772
"FBgn0267937:lncRNA:CR46217",1,-16.6096404744368
"FBgn0051106:CG31106",1,-16.6096404744368
"FBtr0309704_df_nrg:FBtr0309704_df_nrg",1,-16.6096404744368
"FBgn0286506:Mpi",1,-9.24036125502743
"FBgn0039439:TwdlK",1,-16.6096404744368
"FBgn0037964:CG14731",1,-16.6096404744368
"FBgn0039625:beta4GalNAcTB",1,-9.65249311449712
"FBgn0039723:CG15522",1,-7.66122764926626
"FBgn0262955:Polr2B",1,-16.6096404744368
"FBgn0039613:Nepl20",1,-16.6096404744368
"FBgn0262223:mir-994",1,-16.6096404744368
"FBgn0051103:CG31103",1,-16.6096404744368
"FBgn0039807:CG15546",1,-16.6096404744368
"FBgn0051493:CG31493",1,-16.6096404744368
"FBgn0038868:CG5862",1,-8.24473071691295
"FBti0059857:INE-1{}1796",1,-16.6096404744368
"FBgn0038787:CG4360",1,-16.6096404744368
"FBti0062097:TART-B{}4036",1,-16.6096404744368
"FBgn0266302:lncRNA:CR44967",1,-16.6096404744368
"FBgn0039154:Npc2f",1,-16.6096404744368
"FBgn0051158:Efa6",1,-7.33988374124203
"FBgn0039600:Prp39",1,-6.92543066547546
"FBti0059901:INE-1{}1840",1,-16.6096404744368
"FBgn0038219:CG14839",1,-16.6096404744368
"FBgn0262473:Tl",1,-6.34105282510753
"FBgn0065064:snoRNA:Psi28S-291",1,-16.6096404744368
"FBgn0083984:CG34148",1,-8.65831025799077
"FBti0019426:BS{}1416",1,-11.2144187970452
"FBti0019454:jockey{}1451",1,-16.6096404744368
"FBti0059801:G5A{}1740",1,-16.6096404744368
"FBgn0038878:CG3301",1,-11.2144187970452
"FBgn0039523:CG12885",1,-16.6096404744368
"FBgn0082957:snoRNA:Psi28S-3405d",1,-16.6096404744368
"FBgn0004389:bnk",1,-16.6096404744368
"FBgn0038877:CG3308",1,-10.2316618330772
"FBti0215179:1360{}6400",1,-16.6096404744368
"FBgn0039356:CG5039",1,-16.6096404744368
"FBgn0262903:lncRNA:CR43258",1,-16.6096404744368
"FBgn0267315:lncRNA:TS16",1,-16.6096404744368
"FBti0215207:1360{}6428",1,-16.6096404744368
"FBti0062079:INE-1{}4018",1,-16.6096404744368
"FBgn0037455:CG2336",1,-16.6096404744368
"FBtr0304415_df_nrg:FBtr0304415_df_nrg",1,-16.6096404744368
"FBgn0039264:CG11786",1,-16.6096404744368
"FBgn0287211:CG46441",1,-16.6096404744368
"FBgn0037994:eIF3d2",1,-16.6096404744368
"FBti0019314:HMS-Beagle2{}1232",1,-16.6096404744368
"FBti0059666:HB{}1605",1,-11.2144187970452
"FBgn0004885:tok",1,-8.24473071691295
"FBgn0266732:asRNA:CR45205",1,-16.6096404744368
"FBti0019349:297{}1282",1,-16.6096404744368
"FBgn0038136:CG8774",1,-16.6096404744368
"FBgn0051390:MED7",1,-8.24473071691295
"FBgn0038948:JMJD6",1,-8.92017935717114
"FBgn0038601:Polr1E",1,-11.2144187970452
"FBgn0264836:CG44044",1,-16.6096404744368
"FBgn0000277:CecA2",1,-16.6096404744368
"FBgn0038751:CG4770",1,-16.6096404744368
"FBgn0266172:pre-mod(mdg4)-E",1,-16.6096404744368
"FBgn0264326:PolE1",1,-16.6096404744368
"FBgn0051088:CG31088",1,-16.6096404744368
"FBgn0039188:Golgin84",1,-9.24036125502743
"FBgn0267443:lncRNA:CR45793",1,-16.6096404744368
"FBti0062628:hopper2{}4567",1,-16.6096404744368
"FBti0215364:Tc1-2{}6592",1,-16.6096404744368
"FBgn0266448:CG45078",1,-16.6096404744368
"FBgn0025456:CREG",1,-9.65249311449712
"FBgn0040602:CG14545",1,-11.2144187970452
"FBgn0037386:CG1208",1,-11.2144187970452
"FBti0019438:roo{}1429",1,-16.6096404744368
"FBgn0051156:CG31156",1,-16.6096404744368
"FBgn0267787:lncRNA:CR46118",1,-16.6096404744368
"FBgn0037265:spartin",1,-11.2144187970452
"FBgn0004197:Ser",1,-16.6096404744368
"FBgn0085305:CG34276",1,-16.6096404744368
"FBgn0037857:Tengl4",1,-16.6096404744368
"FBti0063104:BS4{}5043",1,-16.6096404744368
"FBti0062875:1360{}4814",1,-16.6096404744368
"FBgn0044810:TotX",1,-16.6096404744368
"FBgn0262149:CR42875",1,-16.6096404744368
"FBgn0037955:Kyat",1,-8.65831025799077
"FBgn0037270:eIF3f1",1,-6.54732378184446
"FBgn0264899:CG44090",1,-16.6096404744368
"FBti0060429:H{}2368",1,-16.6096404744368
"FBgn0039139:Mettl3",1,-11.2144187970452
"FBti0062394:Rt1c{}4333",1,-16.6096404744368
"FBgn0041229:Gr93a",1,-16.6096404744368
"FBgn0039286:dan",1,-16.6096404744368
"FBgn0037251:CG9804",1,-8.07529202913998
"FBgn0051050:CG31050",1,-16.6096404744368
"FBgn0037719:bocks",1,-8.92017935717114
"FBgn0267673:lncRNA:CR46009",1,-16.6096404744368
"FBgn0039093:CG10183",1,-16.6096404744368
"FBgn0016685:Nlp",1,-8.07529202913998
"FBgn0038584:mTerf5",1,-11.2144187970452
"FBgn0051337:CG31337",1,-16.6096404744368
"FBgn0028692:Rpn2",1,-8.92017935717114
"FBgn0037727:Nepl12",1,-16.6096404744368
"FBti0062492:INE-1{}4431",1,-16.6096404744368
"FBgn0002734:E(spl)mdelta-HLH",1,-16.6096404744368
